t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
40	0.0386816	0.0385856	0.0205472	0.03888	0.03888	0.0437312	0.043632	0.0241856	0.0431616	0.0431904	0.033712	0.324557	0.0334688	0.0195232	0.03872	0.0212224	0.0443392	0.0225856	1.00249	0.997518	1	1	1.00227	0.997732	0.999333	1.00067	0.53251	1.8779	0.531188	1.88257	0.554309	1.80405	0.553051	1.80815	0.583325	1.71431	0.548099	1.82449	0.509382	1.96316	0.345104	0.363238	0.363142
41	0.0397984	0.0398656	0.0210848	0.0402304	0.0400704	0.0446496	0.0448352	0.0238816	0.0439104	0.0436928	0.0352576	0.333424	0.0338688	0.0200544	0.0386592	0.0218208	0.0440544	0.022688	0.998314	1.00169	1.00399	0.996023	0.99586	1.00416	1.00498	0.995045	0.528897	1.89073	0.52979	1.88754	0.532653	1.8774	0.534867	1.86962	0.59212	1.68885	0.56444	1.77167	0.515	1.94175	0.354509	0.373222	0.37329
42	0.039328	0.0398976	0.019888	0.0398528	0.0393408	0.0447904	0.0450208	0.0232096	0.045136	0.0445184	0.0341664	0.341606	0.0351264	0.0204896	0.039392	0.0225792	0.0456352	0.0233696	0.985724	1.01448	1.01301	0.987153	0.994882	1.00514	1.01387	0.986317	0.498476	2.00611	0.505696	1.97747	0.515531	1.93975	0.518182	1.92982	0.583311	1.71435	0.573193	1.74461	0.512096	1.95276	0.361494	0.380934	0.381504
43	0.0404064	0.0407776	0.021088	0.040816	0.0407968	0.0452544	0.0452288	0.0239744	0.0461408	0.0452544	0.0356384	0.352829	0.0350272	0.0197824	0.0400896	0.0219488	0.0450304	0.0228032	0.990897	1.00919	1.00047	0.99953	1.00057	0.999434	1.01959	0.980789	0.517147	1.93369	0.521898	1.91608	0.530069	1.88655	0.529769	1.88761	0.564773	1.77062	0.547494	1.82651	0.506396	1.97474	0.373917	0.393235	0.393606
44	0.0406592	0.0407392	0.0235264	0.0407616	0.0409376	0.0457888	0.0459616	0.0254272	0.0466304	0.0463392	0.0351456	0.357552	0.03528	0.0227904	0.0404992	0.0235872	0.0465664	0.0244	0.998036	1.00197	0.995701	1.00432	0.99624	1.00377	1.00628	0.993755	0.577488	1.73164	0.578624	1.72824	0.553227	1.80758	0.555315	1.80078	0.645986	1.54802	0.582411	1.717	0.523983	1.90846	0.381078	0.398211	0.398291
45	0.0413952	0.0417024	0.023664	0.0414048	0.0415552	0.04656	0.0462784	0.0260992	0.0465152	0.0462816	0.0359776	0.366192	0.035936	0.0231072	0.0411776	0.0249856	0.0462976	0.0258656	0.992634	1.00742	0.996381	1.00363	1.00608	0.993952	1.00505	0.994978	0.567449	1.76227	0.571661	1.74929	0.563961	1.77317	0.56055	1.78396	0.64301	1.55519	0.606776	1.64805	0.558681	1.78993	0.389856	0.407587	0.407894
46	0.0415648	0.0426208	0.0237952	0.0423552	0.0421344	0.0473376	0.0471872	0.0263264	0.0473632	0.0473536	0.0364928	0.374394	0.0366144	0.0232512	0.0422272	0.025008	0.0471168	0.0260128	0.975223	1.02541	1.00524	0.994787	1.00319	0.996823	1.0002	0.999797	0.5583	1.79115	0.572484	1.74677	0.557914	1.79239	0.556141	1.7981	0.635029	1.57473	0.592225	1.68855	0.552092	1.81129	0.398189	0.415958	0.417014
47	0.0429856	0.0437568	0.0238208	0.04328	0.0431392	0.0478048	0.048096	0.02624	0.0481248	0.0483296	0.0380352	0.382154	0.0381888	0.0232544	0.0433632	0.0251744	0.0481216	0.0259392	0.982375	1.01794	1.00326	0.996747	0.993945	1.00609	0.995762	1.00426	0.544391	1.83692	0.554158	1.80454	0.545575	1.83293	0.548899	1.82183	0.608932	1.64222	0.580548	1.72251	0.539034	1.85517	0.405974	0.425139	0.42591
48	0.0413184	0.041424	0.0236288	0.0413504	0.0413248	0.0463232	0.0466176	0.0257728	0.0462048	0.0468704	0.0360096	0.387504	0.036	0.0229312	0.0411264	0.0239872	0.046784	0.0248608	0.997451	1.00256	1.00062	0.999381	0.993685	1.00636	0.985799	1.01441	0.570413	1.75311	0.571871	1.74865	0.552856	1.80879	0.556369	1.79737	0.636978	1.56991	0.583256	1.71451	0.531395	1.88184	0.411133	0.428822	0.428928
49	0.0505376	0.0518656	0.0279264	0.0509088	0.0509472	0.0592352	0.0599104	0.0334496	0.061104	0.0596928	0.0432608	0.401437	0.0433856	0.0268928	0.050864	0.0311232	0.0593728	0.0322816	0.974395	1.02628	0.999246	1.00075	0.98873	1.0114	1.02364	0.976905	0.538438	1.85722	0.552587	1.80967	0.558327	1.79106	0.564691	1.77088	0.619855	1.61328	0.611891	1.63428	0.54371	1.83921	0.429363	0.451974	0.453302
