t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
37	0.0316	0.0315936	0.0194528	0.0316928	0.0313824	0.0421152	0.0425024	0.0229856	0.0423296	0.042016	0.0282112	0.30408	0.028032	0.019392	0.0317984	0.0212928	0.0422432	0.0223232	1.0002	0.999797	1.00989	0.990206	0.99089	1.00919	1.00746	0.992591	0.61572	1.62412	0.615595	1.62444	0.540807	1.84909	0.545779	1.83224	0.691781	1.44554	0.669619	1.49339	0.528445	1.89235	0.323533	0.33568	0.335674
38	0.0353984	0.0357184	0.0195328	0.0353984	0.0357024	0.0427648	0.0430272	0.0230048	0.0430912	0.042736	0.0314144	0.31223	0.0313152	0.0193856	0.036384	0.0214496	0.042608	0.0225088	0.991041	1.00904	0.991485	1.00859	0.993902	1.00614	1.00831	0.991757	0.546855	1.82864	0.551799	1.81225	0.534657	1.87036	0.537938	1.85895	0.619048	1.61538	0.589534	1.69626	0.528276	1.89295	0.331763	0.347629	0.347949
39	0.0390112	0.0390464	0.0195296	0.0390208	0.038864	0.043216	0.0435072	0.0231488	0.0436128	0.0431616	0.0339072	0.320355	0.0339456	0.019392	0.0385568	0.0217376	0.0433376	0.0226144	0.999099	1.0009	1.00403	0.995982	0.993307	1.00674	1.01045	0.989654	0.500164	1.99934	0.500615	1.99754	0.532068	1.87946	0.535654	1.86688	0.571267	1.75049	0.563781	1.77374	0.521819	1.91637	0.339885	0.359366	0.359402
40	0.0389344	0.0392	0.0193792	0.0391328	0.039408	0.0437952	0.0440064	0.0231616	0.0435808	0.044192	0.0334784	0.328342	0.0332864	0.0193248	0.038976	0.0209024	0.0441056	0.0216416	0.993225	1.00682	0.993017	1.00703	0.995201	1.00482	0.986169	1.01402	0.494367	2.02279	0.49774	2.00908	0.526323	1.89997	0.528862	1.89085	0.580561	1.72247	0.536289	1.86467	0.490677	2.038	0.347722	0.367277	0.367542
41	0.0401824	0.0403168	0.0195488	0.0402336	0.0399136	0.0447552	0.0450112	0.0232832	0.0451968	0.0450112	0.035104	0.337331	0.0350112	0.0196064	0.0398496	0.0219008	0.0446592	0.0226944	0.996666	1.00334	1.00802	0.992046	0.994312	1.00572	1.00412	0.995893	0.48488	2.06237	0.486502	2.05549	0.517276	1.93321	0.520235	1.92221	0.560004	1.7857	0.549586	1.81955	0.508169	1.96785	0.35688	0.377514	0.377648
42	0.0404512	0.040976	0.0194784	0.0407808	0.0406208	0.0454304	0.045792	0.0233472	0.0458016	0.0454272	0.0350048	0.346224	0.0352768	0.019664	0.040304	0.0219712	0.0457536	0.0228352	0.987193	1.01297	1.00394	0.996077	0.992103	1.00796	1.00824	0.991826	0.475361	2.10366	0.481528	2.07672	0.509853	1.96135	0.513911	1.94586	0.55742	1.79398	0.545137	1.8344	0.499091	2.00364	0.365702	0.386675	0.3872
43	0.0416448	0.0416896	0.0194912	0.0416416	0.041296	0.0462048	0.0465728	0.0233728	0.0469184	0.046272	0.0357824	0.353632	0.035872	0.0195616	0.040896	0.0218976	0.0460192	0.0228864	0.998925	1.00108	1.00837	0.991701	0.992098	1.00796	1.01397	0.986223	0.467532	2.13889	0.468034	2.1366	0.501855	1.99261	0.505852	1.97686	0.545317	1.8338	0.535446	1.8676	0.497323	2.01077	0.373123	0.395277	0.395322
44	0.0420992	0.0421312	0.0232992	0.041888	0.042016	0.0470656	0.0468576	0.025616	0.04712	0.0473632	0.0360832	0.36208	0.0360576	0.02296	0.0418752	0.0238016	0.0472672	0.0245344	0.99924	1.00076	0.996954	1.00306	1.00444	0.995581	0.994865	1.00516	0.553015	1.80827	0.553436	1.80689	0.546678	1.82923	0.544262	1.83735	0.636759	1.57045	0.568394	1.75934	0.519058	1.92657	0.385379	0.404179	0.404211
45	0.0424608	0.0424832	0.023664	0.0423808	0.0424608	0.0472672	0.04752	0.0262304	0.0477504	0.047328	0.0369568	0.370698	0.0372544	0.0232288	0.0421216	0.0251264	0.047664	0.0259648	0.999473	1.00053	0.998116	1.00189	0.99468	1.00535	1.00892	0.991154	0.55702	1.79527	0.557314	1.79432	0.551987	1.81164	0.554939	1.802	0.623518	1.6038	0.596521	1.67639	0.544747	1.83572	0.394362	0.413158	0.413181
46	0.0432416	0.0437024	0.0238144	0.0432064	0.0432288	0.0481408	0.0490368	0.0265632	0.0485088	0.0482432	0.037616	0.378595	0.0379968	0.0232608	0.043488	0.0252224	0.0485632	0.0261664	0.989456	1.01066	0.999482	1.00052	0.981728	1.01861	1.00551	0.994525	0.544922	1.83513	0.550729	1.81578	0.541699	1.84604	0.551781	1.81231	0.612178	1.63351	0.579985	1.72418	0.538811	1.85594	0.40241	0.421837	0.422298
