t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
46	0.175934	0.198414	0.222506	0.178499	0.17869	0.297738	0.334403	0.222867	0.308524	0.311299	0.181592	0.241107	0.194863	0.208121	0.301613	0.179101	0.31272	0.168796	0.886703	1.12777	0.998931	1.00107	0.890356	1.12315	0.991085	1.009	1.12143	0.891721	1.26471	0.790692	0.666464	1.50046	0.748536	1.33594	1.06804	0.936296	0.593812	1.68403	0.539768	1.85265	0.463613	0.417041	0.43952
47	0.202305	0.231174	0.276673	0.209816	0.207879	0.373444	0.431142	0.277025	0.385781	0.385542	0.209565	0.254151	0.227577	0.262348	0.374293	0.203576	0.385297	0.192688	0.87512	1.1427	1.00932	0.990765	0.866174	1.1545	1.00062	0.999382	1.19681	0.835551	1.3676	0.731208	0.642537	1.55633	0.741811	1.34805	1.15279	0.867462	0.543896	1.83859	0.500104	1.99959	0.530824	0.456456	0.485325
48	0.151498	0.166605	0.174802	0.153778	0.162447	0.206893	0.227917	0.172691	0.21211	0.207561	0.157527	0.260661	0.194823	0.177345	0.204717	0.182663	0.21038	0.171946	0.909324	1.09972	0.946633	1.05638	0.907754	1.10162	1.02192	0.978551	1.0492	0.953105	1.15383	0.866681	0.757691	1.3198	0.834688	1.19805	0.910287	1.09855	0.892271	1.12074	0.817312	1.22352	0.435463	0.412158	0.427265
49	0.239593	0.254506	0.248229	0.243611	0.258871	0.300573	0.373091	0.246312	0.317107	0.314409	0.247107	0.273669	0.264492	0.242869	0.306668	0.219659	0.315724	0.207308	0.941404	1.06224	0.941051	1.06264	0.80563	1.24127	1.00858	0.991493	0.975337	1.02529	1.03605	0.965208	0.660194	1.51471	0.819476	1.22029	0.918246	1.08903	0.716277	1.39611	0.65661	1.52297	0.521899	0.513262	0.528175
50	0.245665	0.276379	0.249434	0.250796	0.280135	0.307289	0.382658	0.247252	0.32298	0.320804	0.254162	0.280982	0.274575	0.239451	0.316091	0.223127	0.324262	0.210882	0.888872	1.12502	0.895266	1.11699	0.803037	1.24527	1.00678	0.993264	0.902507	1.10802	1.01534	0.984892	0.646144	1.54764	0.804625	1.24281	0.872079	1.14668	0.705895	1.41664	0.650346	1.53764	0.530415	0.526647	0.55736
51	0.393063	0.48023	0.320705	0.402532	0.407418	0.399168	0.488644	0.318857	0.413819	0.414766	0.378253	0.291516	0.394253	0.308871	0.402885	0.260484	0.418484	0.249068	0.818487	1.22177	0.988006	1.01214	0.81689	1.22415	0.997715	1.00229	0.667815	1.49742	0.815914	1.22562	0.652534	1.53249	0.798802	1.25187	0.783433	1.27643	0.646548	1.54668	0.595166	1.6802	0.612221	0.684578	0.771746
52	0.329985	0.38583	0.282506	0.342959	0.33949	0.337311	0.39596	0.281153	0.352706	0.348338	0.327143	0.300489	0.33847	0.272262	0.346076	0.243279	0.351727	0.232487	0.85526	1.16924	1.01022	0.989885	0.851882	1.17387	1.01254	0.987615	0.732205	1.36574	0.856119	1.16806	0.710054	1.40834	0.833512	1.19974	0.804388	1.24318	0.702962	1.42255	0.660988	1.51289	0.582995	0.630474	0.686319
53	0.431187	0.531422	0.366034	0.446614	0.452365	0.441142	0.544438	0.364167	0.45923	0.463901	0.425936	0.313688	0.442088	0.348399	0.457717	0.29472	0.464714	0.284575	0.811383	1.23246	0.987289	1.01288	0.810271	1.23416	0.989932	1.01017	0.688782	1.45184	0.848899	1.178	0.668886	1.49502	0.82551	1.21137	0.788077	1.26891	0.643891	1.55306	0.612365	1.63301	0.679723	0.744876	0.845111
54	0.438015	0.524241	0.364932	0.452217	0.455651	0.447987	0.536712	0.363826	0.466105	0.466306	0.4287	0.322669	0.442918	0.340706	0.457174	0.294478	0.467051	0.28371	0.835522	1.19686	0.992464	1.00759	0.834688	1.19805	0.999567	1.00043	0.696115	1.43654	0.83315	1.20026	0.677879	1.47519	0.812134	1.23132	0.76923	1.3	0.644128	1.55249	0.60745	1.64623	0.687601	0.760684	0.84691
55	0.550015	0.642131	0.453332	0.566285	0.566373	0.562503	0.657625	0.452013	0.582832	0.580774	0.541849	0.334268	0.556635	0.431677	0.570594	0.334132	0.58277	0.323418	0.856546	1.16748	0.999846	1.00015	0.855355	1.16911	1.00354	0.99647	0.705981	1.41647	0.824218	1.21327	0.687342	1.45488	0.803575	1.24444	0.775512	1.28947	0.585586	1.70769	0.554967	1.80191	0.7876	0.884283	0.976399
56	0.387538	0.407514	0.333947	0.407867	0.383952	0.393564	0.415128	0.332889	0.415506	0.390005	0.382031	0.346274	0.403246	0.332489	0.383127	0.313219	0.389821	0.302681	0.950981	1.05155	1.06228	0.941367	0.948057	1.05479	1.06539	0.938625	0.819474	1.22029	0.861715	1.16048	0.801897	1.24704	0.845832	1.18227	0.824533	1.21281	0.817534	1.22319	0.776462	1.28789	0.680221	0.733812	0.753788
57	0.517439	0.626574	0.440452	0.542343	0.550875	0.526262	0.638296	0.439468	0.552976	0.568022	0.506395	0.357613	0.533921	0.43716	0.548974	0.365449	0.562254	0.355451	0.825822	1.21091	0.984512	1.01573	0.82448	1.21289	0.973512	1.02721	0.702953	1.42257	0.851216	1.17479	0.688501	1.45243	0.835074	1.1975	0.818773	1.22134	0.665694	1.50219	0.63219	1.5818	0.798065	0.875051	0.984187
