t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
45	0.231337	0.279063	0.0369219	0.233433	0.263967	0.357349	0.426676	0.036619	0.36861	0.376239	0.234831	0.288313	0.262888	0.0368786	0.367002	0.0479214	0.392532	0.049176	0.828978	1.20631	0.884326	1.13081	0.837517	1.19401	0.979725	1.02069	0.132307	7.55819	0.159602	6.26557	0.0858239	11.6518	0.102474	9.75855	0.140283	7.12847	0.130575	7.65842	0.125279	7.98219	0.325235	0.519649	0.567375
46	0.223325	0.248057	0.0332025	0.225775	0.226104	0.373448	0.414485	0.0308269	0.385444	0.388951	0.228389	0.300313	0.244701	0.0270848	0.374859	0.0494074	0.390574	0.0497506	0.900297	1.11074	0.998544	1.00146	0.900994	1.10989	0.990982	1.0091	0.13385	7.47104	0.148673	6.72616	0.074374	13.4456	0.0825467	12.1144	0.110685	9.03462	0.131802	7.58711	0.127378	7.85063	0.333516	0.523639	0.548371
47	0.254996	0.285037	0.0313172	0.262817	0.285622	0.468758	0.529708	0.0311977	0.481081	0.483158	0.264202	0.310423	0.28606	0.0298363	0.466167	0.0515298	0.483166	0.0522743	0.894606	1.11781	0.920156	1.08677	0.884936	1.13002	0.995701	1.00432	0.109871	9.1016	0.122815	8.14235	0.058896	16.9791	0.066554	15.0254	0.104301	9.58764	0.110539	9.04655	0.108191	9.2429	0.34174	0.565418	0.595459
48	0.190183	0.207474	0.0775642	0.193024	0.201487	0.255171	0.279195	0.0224558	0.263236	0.259442	0.194795	0.321394	0.240811	0.0230974	0.253904	0.0265815	0.262166	0.0255691	0.916663	1.09091	0.957993	1.04385	0.913952	1.09415	1.01462	0.985588	0.373851	2.67486	0.407839	2.45195	0.0804305	12.4331	0.088003	11.3632	0.095915	10.4259	0.104691	9.55192	0.0975301	10.2532	0.398958	0.511577	0.528867
49	0.299611	0.320474	0.0727496	0.303215	0.324349	0.375253	0.45111	0.0296678	0.389618	0.389833	0.306611	0.336769	0.330633	0.0296491	0.378756	0.033317	0.392717	0.032246	0.934901	1.06963	0.934843	1.0697	0.831844	1.20215	0.999447	1.00055	0.227006	4.40516	0.242813	4.11839	0.0657663	15.2054	0.0790608	12.6485	0.0896736	11.1515	0.0879644	11.3682	0.08211	12.1788	0.409518	0.63638	0.657243
50	0.30959	0.337816	0.0706772	0.314425	0.315353	0.383384	0.463451	0.030094	0.401205	0.398698	0.320273	0.343446	0.346183	0.0308147	0.384292	0.03734	0.40166	0.0362122	0.916445	1.09117	0.997056	1.00295	0.827239	1.20884	1.00629	0.993751	0.209218	4.7797	0.228293	4.38033	0.0649346	15.4001	0.0784956	12.7396	0.0890127	11.2343	0.0971657	10.2917	0.0901564	11.0918	0.414123	0.653036	0.681262
51	0.486558	0.58006	0.0668765	0.499149	0.505437	0.495663	0.592918	0.0348445	0.512936	0.516213	0.466612	0.359354	0.482009	0.0350031	0.497252	0.0388931	0.519267	0.0382708	0.838807	1.19217	0.987559	1.0126	0.835972	1.19621	0.993653	1.00639	0.115292	8.6736	0.137448	7.27548	0.0587678	17.0161	0.0702987	14.225	0.0726192	13.7705	0.0782161	12.7851	0.0737016	13.5682	0.426231	0.845913	0.939414
52	0.407033	0.466566	0.0839493	0.420188	0.427114	0.419079	0.481147	0.032057	0.435566	0.440596	0.398484	0.367548	0.411882	0.0316629	0.43031	0.0367496	0.443447	0.0372227	0.872402	1.14626	0.983783	1.01648	0.870998	1.14811	0.988582	1.01155	0.17993	5.55771	0.206247	4.84856	0.0666262	15.0091	0.076494	13.0729	0.0768738	13.0083	0.0854026	11.7092	0.0839395	11.9133	0.451497	0.774581	0.834113
53	0.53469	0.641745	0.0828244	0.548184	0.562187	0.547127	0.655402	0.0377258	0.56423	0.574531	0.521734	0.385072	0.537225	0.0358594	0.560799	0.0514691	0.577333	0.0405841	0.833181	1.20022	0.975092	1.02554	0.834796	1.1979	0.982069	1.01826	0.129061	7.74826	0.154902	6.4557	0.0575613	17.3728	0.0689525	14.5027	0.0667494	14.9814	0.0917782	10.8958	0.0702958	14.2256	0.467897	0.919762	1.02682
54	0.542131	0.634703	0.0708456	0.557088	0.563563	0.556056	0.65066	0.0381931	0.574282	0.578113	0.52398	0.39394	0.538098	0.037502	0.560762	0.044956	0.579825	0.0451187	0.854149	1.17076	0.988511	1.01162	0.854603	1.17013	0.993374	1.00667	0.11162	8.95896	0.13068	7.65228	0.058699	17.0361	0.0686857	14.5591	0.0696936	14.3485	0.0801695	12.4736	0.0778144	12.8511	0.464786	0.936071	1.02864
55	0.680864	0.77867	0.0955461	0.699683	0.70323	0.699185	0.800192	0.0453867	0.721769	0.721456	0.659388	0.409466	0.678776	0.0485096	0.701162	0.0474542	0.721252	0.0470811	0.874394	1.14365	0.994956	1.00507	0.873772	1.14446	1.00043	0.999566	0.122704	8.14968	0.140331	7.12603	0.0567198	17.6305	0.0649137	15.4051	0.0714663	13.9926	0.0676793	14.7756	0.0652769	15.3194	0.505012	1.09033	1.18814
